Date,SKU,Branch,Units Sold,Revenue (NGN)
2025-07-01,SKU-3003,Mbari,1,180000
2025-07-01,SKU-3012,Mbari,1,270000
2025-07-01,SKU-3018,Mbari,1,68000
2025-07-01,SKU-3021,Mbari,1,75000
2025-07-01,SKU-3024,Mbari,2,190000
2025-07-01,SKU-3027,Mbari,2,230000
2025-07-01,SKU-3036,Mbari,2,290000
2025-07-01,SKU-3051,Mbari,1,215000
2025-07-01,SKU-3054,Mbari,1,280000
2025-07-01,SKU-3078,Mbari,3,180000
2025-07-01,SKU-3081,Mbari,3,330000
2025-07-01,SKU-3084,Mbari,3,450000
2025-07-01,SKU-3087,Mbari,2,440000
2025-07-01,SKU-3090,Mbari,2,520000
2025-07-01,SKU-3093,Mbari,1,140000
2025-07-01,SKU-3123,Mbari,2,3000
2025-07-01,SKU-3126,Mbari,4,11200
2025-07-01,SKU-3129,Mbari,4,14000
2025-07-01,SKU-3132,Mbari,1,8500
2025-07-01,SKU-3135,Mbari,2,4000
2025-07-01,SKU-3017,Owerri Main,2,136000
2025-07-01,SKU-3020,Owerri Main,2,150000
2025-07-01,SKU-3026,Owerri Main,1,115000
2025-07-01,SKU-3029,Owerri Main,3,405000
2025-07-01,SKU-3032,Owerri Main,2,170000
2025-07-01,SKU-3035,Owerri Main,3,435000
2025-07-01,SKU-3041,Owerri Main,1,230000
2025-07-01,SKU-3074,Owerri Main,1,480000
2025-07-01,SKU-3080,Owerri Main,1,110000
2025-07-01,SKU-3083,Owerri Main,1,150000
2025-07-01,SKU-3098,Owerri Main,1,190000
2025-07-01,SKU-3107,Owerri Main,2,150000
2025-07-01,SKU-3113,Owerri Main,1,185000
2025-07-01,SKU-3122,Owerri Main,3,4500
2025-07-01,SKU-3125,Owerri Main,3,8400
2025-07-01,SKU-3128,Owerri Main,3,10500
2025-07-01,SKU-3131,Owerri Main,3,25500
2025-07-01,SKU-3134,Owerri Main,3,6000
2025-07-01,SKU-3137,Owerri Main,1,1200
2025-07-01,SKU-3001,Tetlow,2,360000
2025-07-01,SKU-3004,Tetlow,1,210000
